comment,label
 집과 직장에서 인터넷 뱅킹을 이용가능하나요? 공인인증서가 있습니까? 네 가능합니다. 공인인증서를 복사해서 사용할 수 있습니다. 인증서 복사는 어떻게 하죠? 하드디스크에서 이동식USB로 복사하는 방법이 있습니다. 이동식 USB말고 다른 방법있나요? 기기간에 복사할 수 있는 방법이 있는데 안내해 드릴까요? 네 인증서 내보내기 후 암호를 입력하고 8자리 인증번호를 확인해 주세요 인증서를 가져올 기기에서는 어떻게 해야하나요? 인증서 가저오기를 누르시고 8자리 인증번호입력후 저장위치를 선택한후 암호를 입력하시면 됩니다. 이메일로도 가능한가요? 가능합니다. 어떻게 해야하나요? 인증서를 내보내기 후 이메일로 받은 인증서 파일을 바탕화면에 저장한 후 인증서 가져오기 누르시면 됩니다. 가정  직장 말고도 노트북에도 가능한가요? 네 같은 방법으로 하면 되나요? 네 동일한 방법으로 하시면 됩니다.,0
 인터넷뱅킹이나 스마트뱅킹의 이체한도 조회를 할 수있나요? 네. 가능합니다. 조회 방법이 어떻게 되나요? ?개인인터넷뱅킹 또는 개인뱅킹 앱에 로그인합니다. 그리고 뱅킹관리 또는 계좌관리를 들어가서 확인 가능합니다.  근데 인터넷 뱅킹이랑 스마트뱅킹이랑 차이가 뭐에요? 인터넷뱅킹은 가정(회사)에서 인터넷을 이용해 은행의 서비스를 이용할 수 있는 뱅킹이고 스마트뱅킹은 스마트폰 따위의 모바일 기기를 이용하여 각종 조회 아~그렇구나. 그럼 저는 스마트뱅킹을 사용하거든요. 이체한도 조회방법을 정확히 알려주세요. 네~스마트 뱅킹을 사용하시는 은행이 어떻게 되십니까? OO은행요. OO은행에서 스마트뱅킹으로 이체한도 조회를 하는 방법 'OO뱅킹' 앱에 로그인 후 '계좌관리'로 들어가 '입출금'에서 '이체한도 관리'를 찾아 들어가시면 됩니다. 혹시 다른 문의사항 있으십니까? 네. 그런데 인터넷뱅킹을 사용하는데 수수료가 어떻게 되나요? 동일한 은행과 인터넷뱅킹을 하시나요? 다른 은행과 인터넷뱅킹을 하시나요? 같은 은행이랑 거래하는데요 동일한 은행과 거래를 하실 경우 수수료는 무료입니다. 아~그렇구나. 그럼 다른 은행이랑 거래할 때는 수수료가 있나요? 네. 그렇습니다. 고객님 아~네. 알겠어요. 네. 감사합니다. 오늘도 행복한 하루되세요.,0
 스마트뱅킹을 하는데 공인인증서 비밀번호를 입력했는데 자꾸 초기 화면으로 돌아가요. 왜 그러는 거에요? 스마트폰의 메모리가 부족하거나 아~내 거 인터넷뱅킹 앱을 업데이트를 안해도 그럴 수 있다는 거네요? 네. 그렇습니다. 고객님 네. 알았어요. 그리고 무료 공인인증서를 증권사에서 사용할 수 있어요? 아닙니다. ?은행에서 발급받은 무료 공인인증서는 증권사 이용이 불가능 합니다. 증권사에서 이용을 원하시는 경우 증권사에서 발급하는?「증권거래용 인증서」를 발급받거나 아. 그렇구나. 그럼 증권사에서 인증서를 받거나 범용공인인증서를 발급받아야 된다는 거죠? 네. 그렇습니다. 고객님 혹시 다른 문의사항 있으십니까? 네. 네. 말씀 부탁드립니다. 브라우저인증이라고 있던데 그게 어떤 거에요? 별도의 프로그램 설치없이 웹표준(HTML5)을 지원하는 브라우저 및 클라우드에 저장·이용하는?新공인인증서(발급기관?:?금융결제원)로서 유효기간은?3년입니다. 그게 무슨 소리에요? 브라우저라는 것은 인터넷을 검색할 때 문서나 영상 아. 그렇구나 혹시 다른 문의사항 있으신가요? 아니요. 네.감사합니다.오늘도 행복한 하루되세요.,0
 거래내역에 따라 고객 등급에 따라 뭐 달라지는거 있어요? 네 등급은 어떻게 선정되는가요? 등급선정방법은 매달 말일을 기준으로 최근 3개월간 거래실적에 따라 자동 선정됩니다. 선정일은요? 매달 달일기준으로 다음달 10일날 선정되십니다. 우대기간은요? 선정일로부터 6개월간입니다. 몇 개의 등급으로 나눠져 있어요? 4개의 등급으로 나눠집니다. 가장 높은 등급은 뭔데요? mvp등급으로 총 자산이 3천만원 이상이시고 등급 순서대로 알려주세요 등급은 프리미엄 다음 골드 다음 로얄 다음 mvp 순입니다. 저는 무슨 등급이예요? 고객님은 골드입니다. 그럼 골드 다음인 로얄로 가려면 제가 부족한 항목이 뭔가요? 확인 결과 총자산이 200만원 부족하십니다. 그거 채우면 다음 등급으로 저도 올라갈 수 있어요? 네,0
 거래내역에 따라 고객 등급에 따라 뭐 달라지는거 있어요? 네 등급은 어떻게 선정되는가요? 등급선정방법은 매달 말일을 기준으로 최근 3개월간 거래실적에 따라 자동 선정됩니다. 선정일은요? 매달 달일기준으로 다음달 10일날 선정되십니다. 우대기간은요? 선정일로부터 6개월간입니다. 몇 개의 등급으로 나눠져 있어요? 4개의 등급으로 나눠집니다. 가장 높은 등급은 뭔데요? mvp등급으로 총 자산이 3천만원 이상이시고 등급 순서대로 알려주세요 등급은 프리미엄 다음 골드 다음 로얄 다음 mvp 순입니다. 저는 무슨 등급이예요? 고객님은 골드입니다. 그럼 골드 다음인 로얄로 가려면 제가 부족한 항목이 뭔가요? 확인 결과 총자산이 200만원 부족하십니다. 그거 채우면 다음 등급으로 저도 올라갈 수 있어요? 네,0
 회계 감사를 위해 기업의 거래내역을 조회하고 싶어요  어떻게 하면 되나요? 간편하게 인터넷 뱅킹을 통해 조회 가능하세요. 어떤 방법이 있나요? 공인인증서를 통해 인터넷 뱅킹에 접속하셔서 조회가 가능합니다. 어디로 들어가나요? 기업인터넷뱅킹>조회>입출금내역조회에서 확인하시면 됩니다. 그건 6개월까지밖에 안되어서요. 회계감사용으로 최근 3개년 거래내역이 필요한데 어떻게 하면 되죠? 마이계좌관리>거래내역 대량조회 메뉴를 이용하여 확인가능합니다. 그러면 최근 3년껄 모두 볼 수 있나요? 가능하세요. 다만 정보처리의 양이 많아 조금 오래 걸리실 수 있으세요. 아니면 직접 당행에 내방하시면 바로 조회 및 거래내역을 뽑아드릴 수 있습니다. 필요한게 있나요? 거래내역이 필요한 계좌번호 위임장이요? 위임장의 양식은 따로 정해져 있나요? 없으세요. 대리인에게 통장 거래내역 조회를 위임한다는 내용과 통장에 찍힌 직인이 포함되 있으면 양식은 필요하지 않으세요. 대리인 분의 신분증도 필요하십니다. 양식을 만들기 어려울것 같은데 어떻게 하죠? 당행의 인터넷 자료실에 보면 위임장 양식이 있습니다. 그 양식으로도 가능하세요. 주거래 지점에 꼭 방문해야 하나요? 아닙니다. 당행의 어느 지점에서도 조회가 가능하세요.,0
 제가 통장을 잃어버렸는데 거래내역을 확인할 수 있나요? 네 가능합니다. 인터넷뱅킹을 사용하시나요? 네  사용하고 있습니다. 인터넷뱅킹에 로그인하신 후 통장계좌번호를 클릭하면 해당 계좌에 대한 거래내역을 확인하실 수 있습니다. 얼마나 조회할 수 있나요? 해당메뉴에서는 최근 3개월까지 조회가능합니다.  그 이전 내역이 필요하신가요? 네 1년전꺼가 필요해요. 조회메뉴 하단에서 과거거래내역 조회를 통해 최근 1년내역을 확인하실 수 있습니다. 만약 1년 이전 메뉴가 필요하면 어떻게 하죠? 조회메뉴 하단의 과거거래내역 요청을 통해 기간을 설정해주시면 등록한 이메일로 요청기간만큼 메일을 통해 송부드립니다. 은행에 방문하면 바로 조회해서 출력할 수 있나요? 네 영업점에 방문하셔도 조회하실 수 있습니다. 어떤 서류를 챙겨가야하나요? 조회하실 계좌번호와 신분증 배우자의 통장인데 제가 대신 가도 되나요? 위임장과 위임받으시는 분의 신분증을 추가로 챙겨가시면 됩니다. 도장이 아니라 서명거래를 이용했다면 어떻게 하죠? 그렇다면 본인이 가셔야 합니다. 다른 방법이 없나요? 네 서명거래로 인한 계좌는 본인 직접 방문이 원칙입니다.,0
 통장의 잔액을 확인할 수 있는 증빙서류를 받아야 하는데 혹시 있나요? 지정한 날에 예금의 잔액을 은행에서 서면으로 증명해주는 서류는 예금잔액증명서입니다. 발급은 어떻게 받아야 하나요? 가까운 영업점을 방문하여 받으실 수 있습니다. 대리인이 가도 되나요? 예금잔액증명서는 본인 방문이 원칙입니다. 그럼 꼭 제가 가야하나요? 본인이 방문하시기 힘들다면 인터넷뱅킹을 통해서도 가능합니다. 인터넷뱅킹을 사용하시나요? 네  사용해요. 바로 발급가능한가요? 신청하신 뒤 은행이 확인하여 약 1~2시간안에 발급 가능하십니다. 영문증명서도 가능한가요? 네 국문과 영문 모두 가능합니다. 한번에 한계좌씩 신청하나요? 한 번에 10개 계좌까지 발급이 가능합니다. 지정일은 오늘 날짜부터 가능한거죠? 발급기준일이 당일인 경우는 직접 영업점에 오셔야 합니다. 그럼 지정일이 한달전인건 인터넷으로 가능한가요? 네 2년 이내의 지정일은 모두 인터넷으로 발급가능합니다. 증명서에 압류된 내용도 들어가나요? 네,0
 법인의 예금잔액증명서 발급받으려고 하는데 어떤 서류가 필요하지요? 네~ 방문 하시는 분이 대표자 인가요  대리인 이신가요? 네. 대표자  대리인 둘다 안내 해주세요. 네. 대표자 방문시?사업자등록증 대리인은 회사 직원만 가능한가요? 아니요 직원이 아닌 대리인도 가능합니다. 수수료도 있나요? 네 카드 결제가 되나요? 카드결제는 불가능하고 현금만 가능합니다. 조회계좌에서 출금하면 안되나요? 불가능합니다. 예금잔액증명서 발급시 추가 유의사항 때문입니다. 무엇인가요? 잔액증명서?발급기준일이?당일인 경우 발급일은?자동이체를 포함한?모든 입.출금이?불가합니다. 그럼 모든 입출금거래완료 후 잔액증명서를 발급받아야하나요? 네 그렇게 하시는게 좋을 것 같아요. 혹시 다른 문의사항 있으신가요? 휴면계좌도 잔액증명서 발급이 가능한가요? 네. 가능합니다. 고객님 동일하게 하면 되나요? 네 휴면계좌라고 추가 서류가 필요하지는 않습니다.,0
 예금잔액증명서를 발급받고 싶어요. 은행 영업점을 방문하셔서 신청하시면 빠르게 가능합니다. 신분증만 들고가면 되요? 아니면 다른 서류 필요한게 있나요? 기업고객님이십니까  개인고객님이십니까? 개인이에요. 본인의 신분증과 통장 서명으로 거래할 수는 없나요? 본인확인 후 서명으로도 거래가 가능합니다. 혹시 대리인이 대신 예금잔액증명서 발급받을 수 있나요? 네. 가능합니다. 고객님 대리인 방문시 준비서류 안내해 드릴까요? 네 알려주세요. 예금잔액증명서 발급하실 분과 대리인의 신분증 수수료도 있나요? 수수료가 발생합니다. 전산 발급시 건당 0천원이 발생됩니다. 전산발급말고 수기발급이면요? 수기발급시 건당 0천원이 발생됩니다. 전산발급과 수기발급 모두 효력은 동일하죠? 네 동일합니다만 제출하시는 곳에서 한번 더 확인하시길 권합니다. 이렇게 서류만 준비해서 은행에 가면 되는거죠? 네. 그러나 잔액증명서?발급기준일이?당일인 경우에 당일 발급 이후에는 모든 입출금이?불가합니다. 자동이체도 안되는거에요? 네 자동이체를 포함한 모든 입출금이 되지않습니다.,0
